paramID,g,R1ratio,R2ratio,T1,T2,S_01_1,S_01_2,S_00_1,S_00_2,S_11_1,S_11_2,alpha1,theta1,kappa1,mu1,alpha2,theta2,kappa2,mu2
48,0.0487,0,0,0,0,2.2307,0.044614,1.78456,0.0356912,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
49,0.0487,0,0,0,0,2.2307,0.044614,0.00204019822,4.08039644e-05,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
50,0.0487,0,0,0,0,2.2307,2.2307,0.0195119329,0.0195119329,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
51,0.0487,0,0,0,0,2.2307,2.2307,0.186598055,0.186598055,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
52,0.0487,0,0,0,0,2.2307,2.2307,1.78456,1.78456,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
53,0.0487,0,0,0,0,2.2307,2.2307,0.00204019822,0.00204019822,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
54,0.0487,0,0,0,0,2.2307,0.60541,0.00204019822,0.000553707986,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
55,0.0487,0,0,0,0,2.2307,0.60541,0.0195119329,0.00529552127,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
56,0.0487,0,0,0,0,2.2307,0.60541,0.186598055,0.0506425465,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
57,0.0487,0,0,0,0,2.2307,0.60541,1.78456,0.484328,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
58,0.0487,0,0,0,0,21.428,0.11571,17.142400000000002,0.092568,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
59,0.0487,0,0,0,0,21.428,0.11571,0.0195980488,0.0001058283659999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
60,0.0487,0,0,0,0,21.428,0.11571,0.187430716,0.0010121153699999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
61,0.0487,0,0,0,0,21.428,0.11571,1.7924522,0.0096791415,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
62,0.0487,0,0,0,0,21.428,1.5792,0.187430716,0.0138132623999999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
63,0.0487,0,0,0,0,21.428,0.42856,0.0195980488,0.000391960976,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
64,0.0487,0,0,0,0,21.428,0.42856,0.187430716,0.00374861432,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
65,0.0487,0,0,0,0,21.428,0.42856,1.7924522,0.035849044,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
66,0.0487,0,0,0,0,21.428,0.42856,17.142400000000002,0.342848,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
67,0.0487,0,0,0,0,21.428,1.5792,0.0195980488,0.0014443363199999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
68,0.0487,0,0,0,0,21.428,21.428,0.0195980488,0.0195980488,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
69,0.0487,0,0,0,0,21.428,5.8156,0.0195980488,0.00531894776,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
70,0.0487,0,0,0,0,21.428,5.8156,0.187430716,0.0508690531999999,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
71,0.1287,0,0,0,0,0.61368,0.61368,0.00536785896,0.00536785896,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
72,0.1287,0,0,0,0,0.61368,0.61368,0.051334332,0.051334332,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
73,0.1287,0,0,0,0,0.61368,0.16655,0.490944,0.13324,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
74,0.1287,0,0,0,0,0.61368,0.61368,0.000561271728,0.000561271728,1,1,0.2,0.5000000000000001,40,0.001,0.2,0.5000000000000001,40,0.001
